n;RN;
551;6414;
552;6451;
553;6432;
554;6397;
555;6480;
556;6455;
557;6517;
558;6479;
559;6516;
560;6563;
561;6536;
562;6544;
563;6574;
564;6571;
565;6556;
566;6586;
567;6632;
568;6672;
569;6650;
570;6706;
571;6684;
572;6664;
573;6699;
574;6719;
575;6736;
576;6762;
577;6761;
578;6777;
579;6790;
580;6801;
581;6830;
582;6821;
583;6859;
584;6839;
585;6892;
586;6828;
587;6867;
588;6887;
589;6892;
590;6910;
591;6930;
592;6968;
593;6957;
594;6950;
595;6969;
596;7008;
597;7011;
598;7036;
599;7047;
600;7067;
601;7070;
602;7072;
603;7102;
604;7110;
605;7122;
606;7136;
607;7176;
608;7142;
609;7175;
610;7213;
611;7229;
612;7237;
613;7210;
614;7233;
615;7245;
616;7326;
617;7276;
618;7320;
619;7318;
620;7313;
621;7322;
622;7317;
623;7415;
624;7364;
625;7393;
626;7404;
627;7393;
628;7441;
629;7435;
630;7417;
631;7466;
632;7480;
633;7489;
634;7538;
635;7513;
636;7517;
637;7539;
638;7561;
639;7561;
640;7561;
641;7589;
642;7661;
643;7610;
644;7668;
645;7662;
646;7637;
647;7690;
648;7708;
649;7714;
650;7703;
651;7747;
652;7771;
653;7787;
654;7786;
655;7773;
656;7832;
657;7836;
658;7908;
659;7830;
660;7831;
661;7853;
662;7881;
663;7885;
664;7927;
665;7929;
666;7936;
667;7954;
668;7976;
669;7984;
670;8015;
671;8035;
672;8001;
673;8060;
674;8075;
675;8068;
676;8133;
677;8107;
678;8106;
679;8121;
680;8160;
681;8120;
682;8152;
683;8120;
684;8209;
685;8200;
686;8230;
687;8247;
688;8268;
689;8264;
690;8268;
691;8286;
692;8265;
693;8284;
694;8351;
695;8307;
696;8374;
697;8381;
698;8340;
699;8402;
700;8381;
701;8386;
702;8441;
703;8479;
704;8462;
705;8447;
706;8487;
707;8479;
708;8477;
709;8533;
710;8555;
711;8551;
712;8526;
713;8602;
714;8600;
715;8616;
716;8606;
717;8611;
718;8658;
719;8614;
720;8673;
721;8658;
722;8737;
723;8689;
724;8715;
725;8720;
726;8705;
727;8748;
728;8754;
729;8791;
730;8809;
731;8804;
732;8828;
733;8814;
734;8882;
735;8884;
736;8848;
737;8908;
738;8880;
739;8896;
740;8929;
741;8901;
742;8968;
743;8975;
744;8976;
745;9009;
746;9018;
747;9013;
748;9070;
749;9085;
750;9096;
751;9060;
752;9076;
753;9116;
754;9142;
755;9135;
756;9129;
757;9137;
758;9204;
759;9221;
760;9224;
761;9237;
762;9245;
763;9260;
764;9284;
765;9263;
766;9302;
767;9321;
768;9405;
769;9349;
770;9347;
771;9310;
772;9371;
773;9352;
774;9398;
775;9397;
776;9429;
777;9434;
778;9439;
779;9487;
780;9463;
781;9540;
782;9464;
783;9496;
784;9513;
785;9564;
786;9552;
787;9573;
788;9618;
789;9639;
790;9626;
791;9618;
792;9683;
793;9673;
794;9636;
795;9697;
796;9709;
797;9689;
798;9729;
799;9748;
800;9749;
801;9735;
802;9749;
803;9769;
804;9809;
805;9833;
806;9817;
807;9866;
808;9836;
809;9887;
810;9899;
811;9931;
812;9919;
813;9973;
814;9974;
815;9982;
816;9991;
817;9979;
818;10006;
819;10055;
820;10053;
821;10049;
822;10104;
823;10043;
824;10090;
825;10106;
826;10111;
827;10129;
828;10164;
829;10122;
830;10191;
831;10189;
832;10220;
833;10246;
834;10205;
835;10236;
836;10267;
837;10218;
838;10262;
839;10238;
840;10310;
841;10352;
842;10354;
843;10309;
844;10352;
845;10345;
846;10389;
847;10387;
848;10426;
849;10469;
850;10417;
851;10423;
852;10437;
853;10499;
854;10486;
855;10518;
856;10512;
857;10551;
858;10535;
859;10569;
860;10549;
861;10602;
862;10624;
863;10612;
864;10603;
865;10717;
866;10701;
867;10645;
868;10729;
869;10652;
870;10729;
871;10745;
872;10781;
873;10732;
874;10767;
875;10773;
876;10796;
877;10820;
878;10863;
879;10818;
880;10844;
881;10865;
882;10875;
883;10891;
884;10900;
885;10906;
886;10961;
887;10956;
888;11020;
889;10968;
890;11001;
891;10986;
892;11028;
893;11031;
894;11014;
895;11039;
896;11090;
897;11127;
898;11085;
899;11097;
900;11184;
901;11190;
902;11172;
903;11199;
904;11189;
905;11192;
906;11208;
907;11238;
908;11243;
909;11265;
910;11281;
911;11255;
912;11390;
913;11294;
914;11353;
915;11288;
916;11413;
917;11381;
918;11354;
919;11404;
920;11335;
921;11449;
922;11403;
923;11442;
924;11492;
925;11491;
926;11481;
927;11496;
928;11564;
929;11470;
930;11545;
931;11549;
932;11644;
933;11600;
934;11640;
935;11629;
936;11627;
937;11571;
938;11614;
939;11721;
940;11720;
941;11694;
942;11719;
943;11696;
944;11740;
945;11702;
946;11767;
947;11757;
948;11803;
949;11831;
950;11796;
951;11824;
952;11870;
953;11871;
954;11890;
955;11829;
956;11900;
957;11926;
958;11952;
959;11924;
960;11950;
961;11990;
962;11944;
963;12005;
964;12023;
965;12048;
966;12051;
967;12117;
968;12089;
969;12120;
970;12107;
971;12104;
972;12154;
973;12121;
974;12186;
975;12152;
976;12199;
977;12183;
978;12189;
979;12248;
980;12277;
981;12282;
982;12283;
983;12254;
984;12328;
985;12313;
986;12359;
987;12331;
988;12356;
989;12389;
990;12366;
991;12430;
992;12388;
993;12408;
994;12412;
995;12455;
996;12481;
997;12523;
998;12478;
999;12514;
